"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2006";"1.72"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Neuchatel and Jura";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1980";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1981";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1982";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1983";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1984";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1985";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1986";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1987";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1988";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2012";"1.71"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Vaud";"Lung";"0-14";"Female";"2017";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1980";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1981";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1982";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1983";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1984";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1985";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1986";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1987";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1988";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2017";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2018";"0.00"
"Incidence";"East Switzerland";"Lung";"0-14";"Female";"2019";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1980";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1981";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1982";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1983";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1984";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1985";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1986";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1987";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1988";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2017";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2018";"0.00"
"Incidence";"Zurich, Zug, Schaffhausen, and Schwyz";"Lung";"0-14";"Female";"2019";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1980";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1981";"3.56"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1982";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1983";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1984";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1985";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1986";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1987";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1988";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Geneva";"Lung";"0-14";"Female";"1997";"0.00"
